Add:         0210083 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Revise to:   02100J3 Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Open Approach
Revise from: 02100J8 Bypass Coronary Artery, One Site from Right Internal Mammary with Synthetic Substitute, Open Approach
Revise to:   02100J8 Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Open Approach
Revise from: 02100J9 Bypass Coronary Artery, One Site from Left Internal Mammary with Synthetic Substitute, Open Approach
Revise to:   02100J9 Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Open Approach
Revise from: 02100JC Bypass Coronary Artery, One Site from Thoracic Artery with Synthetic Substitute, Open Approach
Revise to:   02100JC Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Open Approach
Revise from: 02100JF Bypass Coronary Artery, One Site from Abdominal Artery with Synthetic Substitute, Open Approach
Revise to:   02100JF Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Open Approach
Revise from: 02100JW Bypass Coronary Artery, One Site from Aorta with Synthetic Substitute, Open Approach
Revise to:   02100JW Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Open Approach
Revise from: 02100K3 Bypass Coronary Artery, One Site from Coronary Artery with Nonautologous Tissue Substitute, Open Approach
Revise to:   02100K3 Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Open Approach
Revise from: 02100K8 Bypass Coronary Artery, One Site from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise to:   02100K8 Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise from: 02100K9 Bypass Coronary Artery, One Site from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise to:   02100K9 Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise from: 02100KC Bypass Coronary Artery, One Site from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach
Revise to:   02100KC Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach
Revise from: 02100KF Bypass Coronary Artery, One Site from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach
Revise to:   02100KF Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach
Revise from: 02100KW Bypass Coronary Artery, One Site from Aorta with Nonautologous Tissue Substitute, Open Approach
Revise to:   02100KW Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Open Approach
Revise from: 02100Z3 Bypass Coronary Artery, One Site from Coronary Artery, Open Approach
Revise to:   02100Z3 Bypass Coronary Artery, One Artery from Coronary Artery, Open Approach
Revise from: 02100Z8 Bypass Coronary Artery, One Site from Right Internal Mammary, Open Approach
Revise to:   02100Z8 Bypass Coronary Artery, One Artery from Right Internal Mammary, Open Approach
Revise from: 02100Z9 Bypass Coronary Artery, One Site from Left Internal Mammary, Open Approach
Revise to:   02100Z9 Bypass Coronary Artery, One Artery from Left Internal Mammary, Open Approach
Revise from: 02100ZC Bypass Coronary Artery, One Site from Thoracic Artery, Open Approach
Revise to:   02100ZC Bypass Coronary Artery, One Artery from Thoracic Artery, Open Approach
Revise from: 02100ZF Bypass Coronary Artery, One Site from Abdominal Artery, Open Approach
Revise to:   02100ZF Bypass Coronary Artery, One Artery from Abdominal Artery, Open Approach
Revise from: 0210344 Bypass Coronary Artery, One Site from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0210344 Bypass Coronary Artery, One Artery from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 02103D4 Bypass Coronary Artery, One Site from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise to:   02103D4 Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise from: 0210444 Bypass Coronary Artery, One Site from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0210444 Bypass Coronary Artery, One Artery from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0210483 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         0210488 Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         0210489 Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021048C Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021048F Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021048W Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach
Revise from: 0210493 Bypass Coronary Artery, One Site from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   0210493 Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 0210498 Bypass Coronary Artery, One Site from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   0210498 Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 0210499 Bypass Coronary Artery, One Site from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   0210499 Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 021049C Bypass Coronary Artery, One Site from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   021049C Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 021049F Bypass Coronary Artery, One Site from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   021049F Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 021049W Bypass Coronary Artery, One Site from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   021049W Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 02104A3 Bypass Coronary Artery, One Site from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02104A3 Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02104A8 Bypass Coronary Artery, One Site from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02104A8 Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02104A9 Bypass Coronary Artery, One Site from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02104A9 Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02104AC Bypass Coronary Artery, One Site from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02104AC Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02104AF Bypass Coronary Artery, One Site from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02104AF Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02104AW Bypass Coronary Artery, One Site from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02104AW Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02104D4 Bypass Coronary Artery, One Site from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02104D4 Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02104J3 Bypass Coronary Artery, One Site from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02104J3 Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02104J8 Bypass Coronary Artery, One Site from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02104J8 Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02104J9 Bypass Coronary Artery, One Site from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02104J9 Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02104JC Bypass Coronary Artery, One Site from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02104JC Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02104JF Bypass Coronary Artery, One Site from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02104JF Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02104JW Bypass Coronary Artery, One Site from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02104JW Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02104K3 Bypass Coronary Artery, One Site from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02104K3 Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02104K8 Bypass Coronary Artery, One Site from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02104K8 Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02104K9 Bypass Coronary Artery, One Site from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02104K9 Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02104KC Bypass Coronary Artery, One Site from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02104KC Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02104KF Bypass Coronary Artery, One Site from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02104KF Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02104KW Bypass Coronary Artery, One Site from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02104KW Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02104Z3 Bypass Coronary Artery, One Site from Coronary Artery, Percutaneous Endoscopic Approach
Revise to:   02104Z3 Bypass Coronary Artery, One Artery from Coronary Artery, Percutaneous Endoscopic Approach
Revise from: 02104Z8 Bypass Coronary Artery, One Site from Right Internal Mammary, Percutaneous Endoscopic Approach
Revise to:   02104Z8 Bypass Coronary Artery, One Artery from Right Internal Mammary, Percutaneous Endoscopic Approach
Revise from: 02104Z9 Bypass Coronary Artery, One Site from Left Internal Mammary, Percutaneous Endoscopic Approach
Revise to:   02104Z9 Bypass Coronary Artery, One Artery from Left Internal Mammary, Percutaneous Endoscopic Approach
Revise from: 02104ZC Bypass Coronary Artery, One Site from Thoracic Artery, Percutaneous Endoscopic Approach
Revise to:   02104ZC Bypass Coronary Artery, One Artery from Thoracic Artery, Percutaneous Endoscopic Approach
Revise from: 02104ZF Bypass Coronary Artery, One Site from Abdominal Artery, Percutaneous Endoscopic Approach
Revise to:   02104ZF Bypass Coronary Artery, One Artery from Abdominal Artery, Percutaneous Endoscopic Approach
Add:         0211083 Bypass Coronary Artery, Two Arteries from Coronary Artery with Zooplastic Tissue, Open Approach
Add:         0211088 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach
Add:         0211089 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach
Add:         021108C Bypass Coronary Artery, Two Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach
Add:         021108F Bypass Coronary Artery, Two Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach
Add:         021108W Bypass Coronary Artery, Two Arteries from Aorta with Zooplastic Tissue, Open Approach
Revise from: 0211093 Bypass Coronary Artery, Two Sites from Coronary Artery with Autologous Venous Tissue, Open Approach
Revise to:   0211093 Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach
Revise from: 0211098 Bypass Coronary Artery, Two Sites from Right Internal Mammary with Autologous Venous Tissue, Open Approach
Revise to:   0211098 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Venous Tissue, Open Approach
Revise from: 0211099 Bypass Coronary Artery, Two Sites from Left Internal Mammary with Autologous Venous Tissue, Open Approach
Revise to:   0211099 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Venous Tissue, Open Approach
Revise from: 021109C Bypass Coronary Artery, Two Sites from Thoracic Artery with Autologous Venous Tissue, Open Approach
Revise to:   021109C Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Venous Tissue, Open Approach
Revise from: 021109F Bypass Coronary Artery, Two Sites from Abdominal Artery with Autologous Venous Tissue, Open Approach
Revise to:   021109F Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach
Revise from: 021109W Bypass Coronary Artery, Two Sites from Aorta with Autologous Venous Tissue, Open Approach
Revise to:   021109W Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Open Approach
Revise from: 02110A3 Bypass Coronary Artery, Two Sites from Coronary Artery with Autologous Arterial Tissue, Open Approach
Revise to:   02110A3 Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach
Revise from: 02110A8 Bypass Coronary Artery, Two Sites from Right Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise to:   02110A8 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise from: 02110A9 Bypass Coronary Artery, Two Sites from Left Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise to:   02110A9 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise from: 02110AC Bypass Coronary Artery, Two Sites from Thoracic Artery with Autologous Arterial Tissue, Open Approach
Revise to:   02110AC Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Arterial Tissue, Open Approach
Revise from: 02110AF Bypass Coronary Artery, Two Sites from Abdominal Artery with Autologous Arterial Tissue, Open Approach
Revise to:   02110AF Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Arterial Tissue, Open Approach
Revise from: 02110AW Bypass Coronary Artery, Two Sites from Aorta with Autologous Arterial Tissue, Open Approach
Revise to:   02110AW Bypass Coronary Artery, Two Arteries from Aorta with Autologous Arterial Tissue, Open Approach
Revise from: 02110J3 Bypass Coronary Artery, Two Sites from Coronary Artery with Synthetic Substitute, Open Approach
Revise to:   02110J3 Bypass Coronary Artery, Two Arteries from Coronary Artery with Synthetic Substitute, Open Approach
Revise from: 02110J8 Bypass Coronary Artery, Two Sites from Right Internal Mammary with Synthetic Substitute, Open Approach
Revise to:   02110J8 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach
Revise from: 02110J9 Bypass Coronary Artery, Two Sites from Left Internal Mammary with Synthetic Substitute, Open Approach
Revise to:   02110J9 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Synthetic Substitute, Open Approach
Revise from: 02110JC Bypass Coronary Artery, Two Sites from Thoracic Artery with Synthetic Substitute, Open Approach
Revise to:   02110JC Bypass Coronary Artery, Two Arteries from Thoracic Artery with Synthetic Substitute, Open Approach
Revise from: 02110JF Bypass Coronary Artery, Two Sites from Abdominal Artery with Synthetic Substitute, Open Approach
Revise to:   02110JF Bypass Coronary Artery, Two Arteries from Abdominal Artery with Synthetic Substitute, Open Approach
Revise from: 02110JW Bypass Coronary Artery, Two Sites from Aorta with Synthetic Substitute, Open Approach
Revise to:   02110JW Bypass Coronary Artery, Two Arteries from Aorta with Synthetic Substitute, Open Approach
Revise from: 02110K3 Bypass Coronary Artery, Two Sites from Coronary Artery with Nonautologous Tissue Substitute, Open Approach
Revise to:   02110K3 Bypass Coronary Artery, Two Arteries from Coronary Artery with Nonautologous Tissue Substitute, Open Approach
Revise from: 02110K8 Bypass Coronary Artery, Two Sites from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise to:   02110K8 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise from: 02110K9 Bypass Coronary Artery, Two Sites from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise to:   02110K9 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise from: 02110KC Bypass Coronary Artery, Two Sites from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach
Revise to:   02110KC Bypass Coronary Artery, Two Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach
Revise from: 02110KF Bypass Coronary Artery, Two Sites from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach
Revise to:   02110KF Bypass Coronary Artery, Two Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach
Revise from: 02110KW Bypass Coronary Artery, Two Sites from Aorta with Nonautologous Tissue Substitute, Open Approach
Revise to:   02110KW Bypass Coronary Artery, Two Arteries from Aorta with Nonautologous Tissue Substitute, Open Approach
Revise from: 02110Z3 Bypass Coronary Artery, Two Sites from Coronary Artery, Open Approach
Revise to:   02110Z3 Bypass Coronary Artery, Two Arteries from Coronary Artery, Open Approach
Revise from: 02110Z8 Bypass Coronary Artery, Two Sites from Right Internal Mammary, Open Approach
Revise to:   02110Z8 Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Open Approach
Revise from: 02110Z9 Bypass Coronary Artery, Two Sites from Left Internal Mammary, Open Approach
Revise to:   02110Z9 Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Open Approach
Revise from: 02110ZC Bypass Coronary Artery, Two Sites from Thoracic Artery, Open Approach
Revise to:   02110ZC Bypass Coronary Artery, Two Arteries from Thoracic Artery, Open Approach
Revise from: 02110ZF Bypass Coronary Artery, Two Sites from Abdominal Artery, Open Approach
Revise to:   02110ZF Bypass Coronary Artery, Two Arteries from Abdominal Artery, Open Approach
Revise from: 0211344 Bypass Coronary Artery, Two Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0211344 Bypass Coronary Artery, Two Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 02113D4 Bypass Coronary Artery, Two Sites from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise to:   02113D4 Bypass Coronary Artery, Two Arteries from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise from: 0211444 Bypass Coronary Artery, Two Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0211444 Bypass Coronary Artery, Two Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0211483 Bypass Coronary Artery, Two Arteries from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         0211488 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         0211489 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021148C Bypass Coronary Artery, Two Arteries from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021148F Bypass Coronary Artery, Two Arteries from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021148W Bypass Coronary Artery, Two Arteries from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach
Revise from: 0211493 Bypass Coronary Artery, Two Sites from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   0211493 Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 0211498 Bypass Coronary Artery, Two Sites from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   0211498 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 0211499 Bypass Coronary Artery, Two Sites from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   0211499 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 021149C Bypass Coronary Artery, Two Sites from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   021149C Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 021149F Bypass Coronary Artery, Two Sites from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   021149F Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 021149W Bypass Coronary Artery, Two Sites from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   021149W Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 02114A3 Bypass Coronary Artery, Two Sites from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02114A3 Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02114A8 Bypass Coronary Artery, Two Sites from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02114A8 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02114A9 Bypass Coronary Artery, Two Sites from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02114A9 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02114AC Bypass Coronary Artery, Two Sites from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02114AC Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02114AF Bypass Coronary Artery, Two Sites from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02114AF Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02114AW Bypass Coronary Artery, Two Sites from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise to:   02114AW Bypass Coronary Artery, Two Arteries from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Revise from: 02114D4 Bypass Coronary Artery, Two Sites from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02114D4 Bypass Coronary Artery, Two Arteries from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02114J3 Bypass Coronary Artery, Two Sites from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02114J3 Bypass Coronary Artery, Two Arteries from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02114J8 Bypass Coronary Artery, Two Sites from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02114J8 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
